;dataset;dfr_kmed;dfr_dbscan;dfr_hdbscan;dfr_agglomerative;dfr_spectral;hd_kmed;hd_dbscan;hd_hdbscan;hd_agglomerative;hd_spectral;dtw_kmed;dtw_dbscan;dtw_hdbscan;dtw_agglomerative;dtw_spectral;edr_kmed;edr_dbscan;edr_hdbscan;edr_agglomerative;edr_spectral;erp_kmed;erp_dbscan;erp_hdbscan;erp_agglomerative;erp_spectral;sspd_kmed;sspd_dbscan;sspd_hdbscan;sspd_agglomerative;sspd_spectral;dfr_gt;hd_gt;dtw_gt;edr_gt;erp_gt;sspd_gt
0;Digilets;0.191185174;0.274809399;0.26702252;0.20939233;0.192666878;0.15741079;0.365661663;0.34259199;0.19869901;0.194264691;0.140517021;0.538117873;0.532338553;0.22190328;0.146948547;-0.525059046;-0.470725287;0.134338933;-0.002638018;-0.258497829;0.130778796;0.686745533;0.648576033;0.478505512;0.145058687;0.145980215;0.298950106;0.389855267;0.189211794;0.171479805;0.152274632;0.103069333;0.102840905;-0.026489819;0.058784846;0.074534312
1;CROSS;0.634118776;0.42312298;0.809256637;0.634421525;0.028816741;0.53671655;0.502943744;0.726706845;0.536711925;0.395145152;0.456835739;0.497679443;0.576101817;0.456238095;0.093387484;-0.447317566;-0.260435327;0.110461665;0.006490278;-0.228603822;0.515354539;0.327190556;0.388956446;0.535907214;0.043869444;0.403975837;0.383083393;0.504004854;0.41809203;0.12686042;0.634381596;0.53666317;0.456147679;-0.05315743;0.450857966;0.403740857
2;ASL;0.199776856;0.615908672;0.45706328;0.535417032;0.133056509;0.174939238;0.411772861;0.510961339;0.476703612;0.133659247;0.17781179;0.54288163;0.445947377;0.364088395;0.14146055;0.022391657;0.083980653;0.049934626;0.357218841;0.317943565;0.161843055;0.492219551;0.159114941;0.303819608;0.135247368;0.166614478;0.650420362;0.405337841;0.256285698;0.146131848;0.074180096;0.081885409;0.050793452;0.015871979;0.043173361;0.03529325
3;FT;0.589543617;0.185832486;0.187807603;0.607687278;0.594010552;0.585468407;0.165691029;0.208461406;0.599361704;0.595790986;0.410595623;0.406223081;0.114761229;0.407494174;0.411125294;-0.660011478;-0.244267966;-0.361770616;-0.020282063;-0.622814237;0.239591957;0.646561506;-0.055758034;0.330064865;-0.052775804;0.604585028;0.091099904;0.260251892;0.60971708;0.616663183;0.095303865;0.086921491;0.16191285;-0.129284794;0.176302234;-0.045736007
4;Labomni;0.754581846;0.642839677;0.63745851;0.787190659;0.632671244;0.750432365;0.760983337;0.759488309;0.761375524;0.509606168;0.39292688;0.29327611;0.351270516;0.413573251;0.327805467;-0.225837522;0.113645234;;0.067654225;-0.154721554;0.365021807;0.720626285;0.116816671;0.43843923;0.292857124;0.469186926;0.784645877;0.520364433;0.523035719;0.354770374;0.76112903;0.557032241;0.390367099;-0.074114976;0.343161229;0.420330858
