;dataset;dfr_1;hd_1;dtw_1;edr_1;erp_1;sspd_1;dfr_2;hd_2;dtw_2;edr_2;erp_2;sspd_2
0;CROSS;0.880136;0.894959;0.874798;0.514015;0.876179;0.876179;0.885303;0.914152;0.860310;0.429188;0.799546;0.799546
1;ASL;0.849541;0.862342;0.820089;0.636152;0.731049;0.731049;0.830140;0.851822;0.810221;0.463847;0.728857;0.728857
2;DigiLeTs;0.661184;0.661613;0.668232;0.558318;0.773382;0.773382;0.677594;0.746510;0.630055;0.480907;0.570626;0.570626
3;FishTrajectories;0.559689;0.574322;0.545089;0.531085;0.544941;0.544941;0.533836;0.603234;0.490462;0.434181;0.408253;0.408253
4;Labomni;0.899523;0.905051;0.942524;0.441766;0.929776;0.929776;0.930998;0.935486;0.922852;0.442936;0.888726;0.888726
5;AIS;0.776484;0.000000;0.858003;0.384374;0.747207;0.747207;0.744372;0.000000;0.772670;0.519040;0.536261;0.536261
6;FishSchool;0.521751;0.000000;0.335364;0.533746;0.611531;0.611531;0.653546;0.000000;0.344405;0.607597;0.401044;0.401044
7;Hurricane;0.678445;0.689429;0.676352;0.588965;0.709713;0.709713;0.636574;0.700533;0.627128;0.558788;0.555455;0.555455
8;VRU;0.803418;0.817887;0.880989;0.526707;0.929722;0.929722;0.910365;0.922319;0.869631;0.522900;0.923576;0.923576
