;setup;adj_rand;nmi;ami;homogeneity;completeness;v-1;v-2;v-0.5;fmi
101;FT_dbscan_sspd;0.061754;0.047218;0.044434;0.216455;0.026499;0.047218;0.037456;0.063862;0.776797
102;FT_hdbscan_discrete_frechet;0.125509;0.103043;0.102015;0.320085;0.061405;0.103043;0.084046;0.133135;0.847327
103;FT_hdbscan_hausdorff;0.066588;0.063973;0.061804;0.271507;0.036258;0.063973;0.050983;0.085846;0.776131
104;FT_hdbscan_dtw;0.006189;0.035379;0.034151;0.158501;0.019912;0.035379;0.028103;0.047741;0.691094
105;FT_hdbscan_edr;0.007076;0.009888;0.004678;0.138230;0.005127;0.009888;0.007551;0.014320;0.448005
106;FT_hdbscan_erp;-0.017729;0.015595;0.010379;0.114756;0.008366;0.015595;0.012107;0.021904;0.633787
107;FT_hdbscan_sspd;0.013372;0.032441;0.029944;0.199830;0.017654;0.032441;0.025360;0.045008;0.653714
108;FT_agglomorative_discrete_frechet;0.011045;0.003608;0.003155;0.013744;0.002077;0.003608;0.002896;0.004784;0.742635
109;FT_agglomorative_hausdorff;0.002262;0.000691;0.000269;0.002826;0.000393;0.000691;0.000552;0.000923;0.705750
110;FT_agglomorative_dtw;0.005256;0.000637;0.000167;0.002344;0.000369;0.000637;0.000513;0.000842;0.755876
111;FT_agglomorative_edr;0.046754;0.012780;0.010670;0.008349;0.027235;0.012780;0.015527;0.010859;0.977831
112;FT_agglomorative_erp;0.028231;0.006087;0.005490;0.017684;0.003676;0.006087;0.004995;0.007790;0.837560
113;FT_agglomorative_sspd;0.007929;0.001548;0.001083;0.005761;0.000894;0.001548;0.001244;0.002047;0.751659
114;FT_spectral_discrete_frechet;0.000367;0.000103;-0.000312;0.000427;0.000058;0.000103;0.000082;0.000137;0.696089
115;FT_spectral_hausdorff;0.000505;0.000867;0.000454;0.003622;0.000493;0.000867;0.000692;0.001162;0.694274
116;FT_spectral_dtw;0.001842;0.001040;0.000623;0.004306;0.000591;0.001040;0.000830;0.001392;0.699243
117;FT_spectral_edr;0.056307;0.033232;0.032728;0.110665;0.019552;0.033232;0.026947;0.043341;0.804524
118;FT_spectral_erp;-0.013978;0.013435;0.013001;0.052764;0.007698;0.013435;0.010762;0.017877;0.720960
119;FT_spectral_sspd;0.002716;0.001399;0.000981;0.005763;0.000796;0.001399;0.001117;0.001872;0.702475
120;Digilets_kmed_discrete_frechet;0.410235;0.674097;0.644312;0.670010;0.678235;0.674097;0.675471;0.672729;0.420474
121;Digilets_kmed_hausdorff;0.114245;0.392076;0.336086;0.390126;0.394045;0.392076;0.392730;0.391423;0.129070
122;Digilets_kmed_dtw;0.320105;0.633989;0.600543;0.625724;0.642475;0.633989;0.636793;0.631210;0.333788
123;Digilets_kmed_edr;0.006864;0.066478;0.049038;0.039464;0.210732;0.066478;0.086132;0.054128;0.108337
124;Digilets_kmed_erp;0.133049;0.447203;0.399075;0.434417;0.460763;0.447203;0.451633;0.442858;0.152227
125;Digilets_kmed_sspd;0.072082;0.339700;0.279233;0.337118;0.342323;0.339700;0.340570;0.338835;0.087895
126;Digilets_dbscan_discrete_frechet;0.009171;0.251363;0.196621;0.164827;0.529200;0.251363;0.304684;0.213925;0.117532
127;Digilets_dbscan_hausdorff;0.000067;0.012838;0.007675;0.006696;0.155204;0.012838;0.018492;0.009832;0.121703
128;Digilets_dbscan_dtw;0.000282;0.026447;0.018087;0.014002;0.237862;0.026447;0.037581;0.020402;0.120547
129;Digilets_dbscan_edr;0.002810;0.023837;0.021809;0.013786;0.087988;0.023837;0.031490;0.019177;0.101545
130;Digilets_dbscan_erp;0.000359;0.031565;0.019410;0.016845;0.250077;0.031565;0.044536;0.024445;0.120033
131;Digilets_dbscan_sspd;0.000016;0.007645;0.003953;0.003898;0.196900;0.007645;0.011249;0.005790;0.124532
132;Digilets_hdbscan_discrete_frechet;0.000429;0.031993;0.024246;0.016797;0.335795;0.031993;0.045808;0.024580;0.122763
133;Digilets_hdbscan_hausdorff;0.000033;0.008000;0.004474;0.004124;0.132835;0.008000;0.011649;0.006091;0.123119
134;Digilets_hdbscan_dtw;0.000169;0.016226;0.011875;0.008434;0.213350;0.016226;0.023448;0.012406;0.122520
135;Digilets_hdbscan_edr;0.001894;0.098208;0.028434;0.070307;0.162823;0.098208;0.113179;0.086734;0.087211
136;Digilets_hdbscan_erp;0.000141;0.015066;0.010116;0.007713;0.321549;0.015066;0.022081;0.011433;0.124625
137;Digilets_hdbscan_sspd;0.000763;0.021363;0.018283;0.011654;0.128049;0.021363;0.029578;0.016720;0.114659
138;Digilets_agglomorative_discrete_frechet;0.255644;0.620664;0.589212;0.593034;0.650993;0.620664;0.630454;0.611172;0.281879
139;Digilets_agglomorative_hausdorff;0.072762;0.351588;0.301120;0.327542;0.379445;0.351588;0.360408;0.343190;0.101112
140;Digilets_agglomorative_dtw;0.091301;0.480771;0.444105;0.423579;0.555820;0.480771;0.503429;0.460065;0.152155
141;Digilets_agglomorative_edr;-0.000004;0.093966;-0.000956;0.061592;0.198087;0.093966;0.113928;0.079957;0.101869
142;Digilets_agglomorative_erp;0.006496;0.236300;0.189834;0.165201;0.414837;0.236300;0.275878;0.206654;0.098473
143;Digilets_agglomorative_sspd;0.061434;0.337632;0.284241;0.316429;0.361881;0.337632;0.345346;0.330255;0.089014
144;Digilets_spectral_discrete_frechet;0.484235;0.791097;0.772206;0.773300;0.809732;0.791097;0.797212;0.785074;0.503263
145;Digilets_spectral_hausdorff;0.126139;0.510180;0.465076;0.479004;0.545697;0.510180;0.521494;0.499347;0.165503
146;Digilets_spectral_dtw;0.374661;0.755705;0.733310;0.729062;0.784368;0.755705;0.765024;0.746610;0.410515
147;Digilets_spectral_edr;0.008634;0.103130;0.051361;0.084500;0.132299;0.103130;0.111310;0.096069;0.055087
148;Digilets_spectral_erp;0.178223;0.603686;0.567603;0.567856;0.644342;0.603686;0.616656;0.591251;0.225357
149;Digilets_spectral_sspd;0.107380;0.449791;0.400559;0.428765;0.472985;0.449791;0.457265;0.442557;0.134622
