;dataset;kmed_dfr;kmed_hd;kmed_dtw;kmed_edr;kmed_erp;kmed_sspd;dbscan_dfr;dbscan_hd;dbscan_dtw;dbscan_edr;dbscan_erp;dbscan_sspd;hdbscan_dfr;hdbscan_hd;hdbscan_dtw;hdbscan_edr;hdbscan_erp;hdbscan_sspd;agglomorative_dfr;agglomorative_hd;agglomorative_dtw;agglomorative_edr;agglomorative_erp;agglomorative_sspd;spectralKNN_dfr;spectralKNN_hd;spectralKNN_dtw;spectralKNN_edr;spectralKNN_erp;spectralKNN_sspd
0;ASL;0.7543517999583855;0.6515964999562129;0.6693207999924198;0.6713672999758273;0.7401701000053436;0.6724157999269664;0.4118109999690205;0.4049473999766633;0.40028479997999966;0.38660209998488426;0.3936641000909731;0.3779013999737799;0.48652619996573776;0.5101032999809831;0.5522142000263557;0.49476229993160814;0.5013526000548154;0.49887330003548414;0.4625055000651628;0.5244934000074863;0.456043399986811;0.4928648000350222;0.4647677999455482;0.49447549995966256;1.6627102999482304;1.4727910000365227;1.5767494000028819;1.6249006000580266;1.646022400003858;1.5816186999436468
1;CROSS;0.20105799997691065;0.2668783999979496;0.2598186999093741;0.29693409998435527;0.2809082999592647;0.27798020001500845;0.23983239999506623;0.2311168999876827;0.23941619996912777;0.22522499994374812;0.22066620003897697;0.2257818999933079;0.28511299996171147;0.274341500014998;0.2798531000735238;0.29569139995146543;0.2716876999475062;0.26701429998502135;0.23961110005620867;0.28106169996317476;0.25983009999617934;0.2666482999920845;0.2550768000073731;0.27153330005239695;0.3110569999553263;0.35700060008093715;0.41537229996174574;0.4107421999797225;0.33433719992171973;0.4069098000181839
2;FishTrajectories;0.589455800014548;0.5992092000087723;0.6064343999605626;0.6236294000409544;0.7618034000042826;0.7419260999886319;0.609492199961096;0.5835760999470949;0.5723087000660598;0.5512614999897778;0.5717660000082105;0.5435493999393657;0.737287100055255;0.7620295999804512;0.710089199943468;0.7509210999123752;0.7239250999409705;0.7344839000143111;0.7867578000295907;0.7943130999337882;0.835703800083138;0.7128532000351697;0.8181479000486434;0.8067556000314653;0.7732991999946535;0.7726646000519395;0.7668201000196859;0.563442699960433;0.8882296999217942;0.7125408999854699
3;Hurricane;0.23052889993414283;0.20685880002565682;0.2508830000879243;0.1886909999884665;0.2039870999287814;0.26734989997930825;0.10267519997432828;0.11444959999062121;0.11882319999858737;0.11225220002233982;0.1234923000447452;0.12431810004636645;0.15060519997496158;0.1472538000671193;0.14029600005596876;0.15157860005274415;0.14036650001071393;0.14435430010780692;0.1315497999312356;0.13392519997432828;0.13844799995422363;0.14635970001108944;0.14281119999941438;0.13518780004233122;0.4395705000497401;0.4461232000030577;0.48803830007091165;0.37307490000966936;0.4860776000423357;0.45837630005553365
4;Labomni;0.0039848999585956335;0.0015078000724315643;0.0014751000562682748;0.003462999942712486;0.0014823999954387546;0.0015060999430716038;0.0022278999676927924;0.0045396999921649694;0.002723500016145408;0.002366800094023347;0.002288699964992702;0.0024320000084117055;0.003091400023549795;0.0033274999586865306;0.003778400016017258;0.002419100026600063;0.0028882999904453754;0.003123000031337142;0.0022197000216692686;0.0020935999928042293;0.003224999993108213;0.0018640999915078282;0.001956299995072186;0.001977499923668802;0.05491980002261698;0.06335129996296018;0.06242119998205453;0.06713480001781136;0.06318340008147061;0.06353519996628165
5;VRU;0.17091670003719628;0.22176900005433708;0.28747320000547916;0.23092770006041974;0.21458699996583164;0.2672450999962166;0.14292889996431768;0.14103940001223236;0.1477601999649778;0.13520959997549653;0.14921409997623414;0.14209390000905842;0.17952400003559887;0.1838885999750346;0.18421199999284;0.17892289999872446;0.17172260000370443;0.18132739991415292;0.16858489997684956;0.16694820008706301;0.1721059000119567;0.17603840003721416;0.16999199998099357;0.16990800003986806;0.32510890008416027;0.3304732000688091;0.3411747000645846;0.32623220002278686;0.3551972999703139;0.3279218999668956
6;DigiLeTs;3.97066539991647;3.5628953999839723;2.9950920999981463;2.675612600054592;4.568983500008471;3.333912800066173;2.4220470000291243;2.4237287999130785;2.4923628999385983;2.115798999904655;2.6311521000461653;2.5170196999097243;3.179761499981396;3.202559299999848;3.4915727000916377;3.4509271000279114;3.431503300089389;3.1529922999907285;3.105501599959098;3.3800600999966264;3.1243463000282645;3.465794299961999;3.197299399995245;3.3451941999373958;5.0494053000584245;18.365781500004232;5.765412400010973;2.630085700075142;12.233240099973045;16.08945450000465
