row_id;kmed_dfr;kmed_hd;kmed_dtw;kmed_edr;kmed_erp;kmed_sspd;dbscan_dfr;dbscan_hd;dbscan_dtw;dbscan_edr;dbscan_erp;dbscan_sspd;hdbscan_dfr;hdbscan_hd;hdbscan_dtw;hdbscan_edr;hdbscan_erp;hdbscan_sspd;agglomorative_dfr;agglomorative_hd;agglomorative_dtw;agglomorative_edr;agglomorative_erp;agglomorative_sspd;spectral_dfr;spectral_hd;spectral_dtw;spectral_edr;spectral_erp;spectral_sspd
44;10;10;10;9;12;10;-1;0;3;-1;0;0;2;0;0;-1;0;0;0;9;2;9;3;7;13;0;14;6;12;5
45;0;12;14;9;7;12;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;6;2;12;3;7;11;1;4;1;8;5
46;0;12;14;11;7;12;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;6;2;4;3;7;11;1;4;10;8;2
47;0;12;14;1;7;12;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;6;2;5;3;7;11;1;4;12;14;5
48;0;12;14;8;7;12;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;6;2;3;3;7;11;1;4;11;14;2
49;0;10;14;1;7;5;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;13;2;3;3;7;11;13;4;3;14;2
50;7;7;7;10;11;11;-1;0;-1;-1;0;0;-1;-1;0;-1;0;-1;9;9;0;0;4;11;3;14;11;11;2;6
51;7;10;7;9;6;5;-1;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;10;14;11;11;8;12;3;4;8;1;4;4
52;7;7;7;9;11;7;-1;0;-1;-1;0;0;5;0;0;-1;0;0;9;4;0;13;4;4;3;8;11;10;4;3
53;7;7;7;1;11;7;-1;0;1;-1;0;0;-1;-1;0;-1;0;-1;9;4;0;1;4;4;3;14;11;8;2;14
54;7;7;7;1;11;7;-1;0;-1;-1;0;0;-1;0;0;-1;0;-1;9;4;0;8;4;4;3;14;11;0;2;14
55;1;1;11;1;2;0;1;0;0;-1;0;0;3;-1;0;-1;0;-1;2;11;13;10;4;0;12;2;9;0;3;8
56;1;1;11;1;2;11;1;0;0;-1;0;0;3;1;0;-1;0;0;2;11;13;13;4;5;2;2;9;1;3;11
57;1;1;11;1;2;11;1;0;0;-1;0;0;3;1;0;-1;0;0;2;11;13;0;4;5;2;2;9;1;11;6
58;1;1;11;1;2;11;1;0;0;-1;0;0;3;-1;0;-1;0;0;2;11;13;0;4;5;2;2;9;1;11;6
59;1;1;11;1;2;11;1;0;0;-1;0;0;3;1;0;-1;0;0;2;11;13;1;4;5;2;2;9;1;11;6
60;4;4;0;1;11;0;-1;-1;1;-1;0;-1;5;-1;0;-1;0;-1;4;2;13;6;4;0;6;5;3;5;2;8
61;4;11;0;1;11;0;-1;0;1;-1;0;0;5;-1;0;-1;0;0;4;2;13;5;4;8;6;5;11;5;2;14
62;4;11;0;1;11;11;-1;0;1;-1;0;0;5;0;0;-1;0;0;4;4;13;2;4;5;6;14;11;11;2;6
63;4;8;0;9;11;7;-1;-1;1;-1;0;0;5;-1;0;-1;0;-1;4;2;13;11;4;8;6;5;3;5;2;14
64;4;11;0;1;11;0;-1;0;1;-1;0;0;5;-1;0;-1;0;-1;4;2;13;8;4;8;6;5;3;10;2;14
65;6;10;6;9;6;6;-1;-1;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;6;5;14;5;14;11;8;7;2;1;1;10
66;6;10;6;9;6;6;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;-1;6;5;3;10;14;11;8;7;2;4;1;10
67;6;6;6;9;6;6;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;-1;6;5;3;8;7;1;8;7;2;1;1;10
68;6;6;6;9;6;9;-1;0;-1;-1;-1;0;0;-1;1;-1;0;1;6;5;3;3;7;1;8;7;2;14;1;1
69;6;6;6;9;6;12;-1;0;-1;-1;-1;0;0;-1;1;-1;0;1;6;5;3;6;7;1;8;7;2;2;1;9
70;3;4;2;1;11;0;-1;0;1;-1;0;0;6;-1;0;-1;0;-1;12;4;12;4;4;0;14;8;12;4;9;8
71;3;4;2;1;11;0;-1;0;1;-1;0;0;6;0;0;-1;0;0;12;4;12;7;4;0;14;8;12;0;2;8
72;3;4;2;6;11;0;-1;0;1;-1;0;0;6;-1;0;-1;0;-1;12;4;12;11;4;0;14;8;12;11;9;8
73;3;5;2;1;11;11;-1;0;1;-1;0;0;6;0;0;-1;0;0;12;13;12;2;4;5;14;13;12;12;9;5
74;3;12;2;1;11;10;-1;0;1;-1;0;0;6;0;0;-1;0;0;12;13;12;14;4;5;14;14;12;12;9;5
